[CUDA] Initialized TensorBoard logging to ./logs/
Global Meta-Models Initialized and shared in memory.
Starting 8 persistent workers...
Meta-Iter 1/6400 | Loss: 60.0325 | Reward: -54.7765 | Success: 4.07%
Meta-Iter 2/6400 | Loss: 52.1447 | Reward: -61.3768 | Success: 3.19%
Meta-Iter 3/6400 | Loss: 76.8042 | Reward: -63.0274 | Success: 3.06%
Meta-Iter 4/6400 | Loss: 26.6952 | Reward: -47.6375 | Success: 5.11%
Meta-Iter 5/6400 | Loss: 62.7570 | Reward: -63.4147 | Success: 3.16%
Meta-Iter 6/6400 | Loss: 48.0522 | Reward: -55.4200 | Success: 3.94%
Meta-Iter 7/6400 | Loss: 34.0346 | Reward: -40.4120 | Success: 6.15%
Meta-Iter 8/6400 | Loss: 39.0667 | Reward: -68.0180 | Success: 2.57%
Meta-Iter 9/6400 | Loss: 10.6977 | Reward: -75.3129 | Success: 1.92%
Meta-Iter 10/6400 | Loss: 133.3429 | Reward: -37.3073 | Success: 5.89%
Meta-Iter 11/6400 | Loss: 56.6052 | Reward: -68.1802 | Success: 2.44%
Meta-Iter 12/6400 | Loss: 101.1820 | Reward: -37.7482 | Success: 5.73%
Meta-Iter 13/6400 | Loss: 8.1983 | Reward: -80.9480 | Success: 0.81%
Meta-Iter 14/6400 | Loss: 54.0519 | Reward: -54.4526 | Success: 4.33%
Meta-Iter 15/6400 | Loss: 50.2513 | Reward: -36.6255 | Success: 6.54%
Meta-Iter 16/6400 | Loss: 40.4329 | Reward: -67.9356 | Success: 2.57%
Meta-Iter 17/6400 | Loss: 18.7550 | Reward: -62.6933 | Success: 3.12%
Meta-Iter 18/6400 | Loss: 87.5655 | Reward: -39.5527 | Success: 5.76%
Meta-Iter 19/6400 | Loss: 42.7710 | Reward: -51.0839 | Success: 4.20%
Meta-Iter 20/6400 | Loss: 89.5482 | Reward: -48.4707 | Success: 5.05%
Meta-Iter 21/6400 | Loss: 73.7614 | Reward: -44.6559 | Success: 5.14%
Meta-Iter 22/6400 | Loss: 30.0433 | Reward: -71.5422 | Success: 2.57%
Meta-Iter 23/6400 | Loss: 52.4608 | Reward: -53.9489 | Success: 4.23%
Meta-Iter 24/6400 | Loss: 67.0946 | Reward: -55.6231 | Success: 4.13%
Meta-Iter 25/6400 | Loss: 49.9677 | Reward: -58.0132 | Success: 3.58%
Meta-Iter 26/6400 | Loss: 42.5865 | Reward: -33.0257 | Success: 6.93%
Meta-Iter 27/6400 | Loss: 54.3323 | Reward: -63.0576 | Success: 3.06%
Meta-Iter 28/6400 | Loss: 41.9022 | Reward: -47.3215 | Success: 5.37%
